,District,Founding President,Charter Date,President,Club Meeting,Club website
33,Bayern-Süd,Nessler-Stuhec,06.04.2001,Gabriele Janetz,"20:00 Uhr, jeden 3. Dienstag im MonatHotel ZugspitzeKlammstraße 1982467 Garmisch-Partenkirchen",http://www.lc-werdenfels.de
34,Bayern-Süd,Langguth,20.04.1988,Markus Steckeler,1. u. 3. Mi 19.30Restaurant MythosAugsburger Str. 4582110 Germering,http://www.lions-club-germering.de
35,Bayern-Süd,Bauer,25.04.2004,Barbara Bourjau,,http://www.lc-gmund-oberland.de
36,Bayern-Süd,Dr. Leiner+,23.10.1971,Stefan Waibel,"2. und 4. Montag, 19.30 UhrLandgasthof LindeHauptstraße 289312 Günzburg",http://www.lions-club-guenzburg.de
37,Bayern-Süd,Wickert,01.07.1977,Norbert Alt,"1. und 3. Montag, 20:00 Uhr, wechselndHotel-Restaurant KolbBahnhofstr. 1189257 Illertissen",http://www.lions-illertissen.de
38,Bayern-Süd,Dr. Reiser,30.04.1966,Marcus Krauß,"Do 18.30 Uhr,Golfclub IngolstadtK1 Daily & Dining²Krumenauerstr.185049 Ingolstadt",http://www.lionsclub-ingolstadt.de
39,Bayern-Süd,F. Schölzel,10.10.2003,Tan Alcay,"1. und 3. Mittwoch, 19.00 UhrOuzerie am Golfclubn.Progr.Krumenauerstraße 185049 Ingolstadt",http://www.lion-in.de
40,Bayern-Süd,Philipp Strube,20.04.2013,Florian Habermann,jeden 2. Mittwoch ab 19:30 UhrArt Hotel Ingolstadt GmbH - Restaurant PfeffermühleManchinger Strasse 6885059 Ingolstadt,https://www.lions-hohe-schule.de
41,Bayern-Süd,Frhr. v. Uckermann,11.04.1964,Norbert Rehle,Offiz. Abend 2. Do 19.30 UhrMarion Neher und Henning RauschRestaurant Sonnenhof in MauerstettenBahnhofstr. 4487665 Mauerstetten,http://www.lions-kaufbeuren.de
42,Bayern-Süd,Bouton+,15.10.1960,Joachim Löffeler,1. u. 3. Do. 19.30 UhrHotel Gasthof WaldhornSteufzgen 8087435 Kempten,http://www.lions-kempten.de
43,Bayern-Süd,Geiger,15.02.1986,Martin Kaiser,"2. u. 4. Do 19:00Hotel ""St. Raphael im Allgäu""Bischof-Freundorfer-Weg 2487439 Kempten (Allgäu)",http://www.lions-buchenberg.de
44,Bayern-Süd,Weisser+,23.10.1976,Sibylle Knott,1. u. 3. Mi 19.30Hotel WaldhornSteutzgen 8087435 Kempten,http://www.lions-kempten-cambodunum.de/
45,Bayern-Süd,Prof. Dr. Klaus Walderich,18.10.1997,Wilhelm Jörg,"2. und 4. Donnerstag, 19:30Restaurant WaldhornSteufzgen 8087435 Kempten",
46,Bayern-Süd,Graf v. Roedern+,22.06.1968,Andreas Horber,1. Mo u. 3. Di 19.30Restaurant WaitzingersWaitzinger Wiese 286899 Landsberg am Lech,http://www.lionslandsberg.com
47,Bayern-Süd,Cavaliere+,18.06.1955,Axel Meier,2. und 4. Donnerstag um 19:30 hSpielbank LindauCantinetta al LagoChelles-Allee 188131 Lindau,https://www.lionsclub-lindau.de/
48,Bayern-Süd,Dr. W. Hilscher jr.,16.11.1990,Carl Singer,"1. Mittwoch 19:30h, 3. Dienstag 19:30h im MonatCafé Hotel GreinwaldGeorg-Fischer-Str. 2287616 Marktoberdorf",http://www.lions.de/marktoberdorf
49,Bayern-Süd,Daxer Hans,20.04.1985,Martin Färbinger,"2. Do. im Monat um 19.00 Uhr""Hofwirth zur Post""Alte Dorfstr. 583250 Marquartstein",https://www.lions-marquartstein.de
50,Bayern-Süd,Dr. Miller,13.06.1959,Philipp Neumann,2. Montag des Monats  19:20 UhrRestaurant & HotelEngelkellerKönigsgraben 987700 Memmingen,
51,Bayern-Süd,Mergner,08.05.1999,Beatrix Seidenfus,2. und 4. Montag 19:30 UhrBayerischer HofOskar-von-Miller-Str. 2-483714 Miesbach,http://miesbach-holzkirchen.lions.de
52,Bayern-Süd,Graf,30.05.1970,Josef Wagner,jeden 2. Dienstag im Monat um 19.30Gasthof DIEMKirchenstraße86381 Krumbach,
53,Bayern-Süd,Meindl+,11.01.1958,Karl-Otto Müller,2. Montag/Monat; 19:00 UhrHotel AlpenroseObermarkt 182481 Mittenwald,http://www.lionsclub-mittenwald.de
54,Bayern-Süd,Wehnelt,24.06.1983,Ekkehard Alschweig,"1. Mi. im Monat 19:30 UhrRestaurant ""Zum Murnauer""Weilheimer Str. 2182418 Murnau a. Staffelsee",http://www.lionsclub-murnau.de
55,Bayern-Süd,Buchmaier,02.05.1981,Jürgen Wallner,1. Montag 19:30 UhrKreuzerwirtMößlinger Straße 284562 Mettenheim,http://www.lions.de/web/lc-muehldorf-waldkraiburg
56,Bayern-Süd,Prof. Dr. Marchionini+,05.03.1953,Yvonne Bechheim,Clubabend am 2. und 4. Dienstag um 19:30 UhrAugustiner am PlatzlOrlandostr. 580331 München,http://www.lions-club-münchen.de
57,Bayern-Süd,Anne Katrin Wieser,20.07.2008,Jan Martin Faaß,3. Mittwoch im MonatBayerischer HofPromenadeplatz 2-680333 München,http://www.lc-muenchner-kindl.de
58,Bayern-Süd,v. Alten,22.11.1963,Jan Lewinski,"1. u. 3. Montag, 19:00 hHotel ""Vier Jahreszeiten""Maximilianstraße 1780539 München",http://www.lions-m-altschwabing.de
59,Bayern-Süd,Gerhard Constantin Treutlein,29.04.1972,Rudolf Walter Klingshirn,"Montag, 19:00 UhrNähe HauptbahnhofEden Hotel WolffArnulfstraße 480335 München",http://www.lc-muenchen-arabellapark.de
60,Bayern-Süd,Dürrmeier Hans,07.06.1969,Henrich Abegg,"Clubabend, 4. Montag im Monat, 19:00 UhrHotel Bayerischer HofPromenadeplatz 2-680333 München",http://muenchen-bavaria.lions.de
61,Bayern-Süd,Rolf Lauw,26.05.1984,Volker Karl-Heinz Lauff,"1. und 3. Mittwoch im Monat, 19.00 UhrDie FasanerieHartmannshofer Straße 2080997 München",https://muenchen-blutenburg.lions.de
62,Bayern-Süd,Schalm,03.03.1989,Tobias Engelmann,"4.Montag im Monat,19UhrHotel Mandarin OrientalNeuturmstrasse80331 München",http://www.lc-cuvillies.org
63,Bayern-Süd,Achelis,11.11.1978,Leonina Kaestele,2. Montag 19:00 UhrHotel Mandarin OrientalNeuturmstrasse 180331 München,http://lions-friedensengel.de
64,Bayern-Süd,Freiboth,23.01.1987,Anton Lesnicar,3. Montag 19.00hGasthof zum WildparkTölzer Straße 282064 Straßlach,http://www.lc-muenchen-geiselgasteig.de
65,Bayern-Süd,Dr. Hock,20.03.2004,Per Joel Wallenborn,,http://www.lionsclub-muenchen-georgenstein.de
66,Bayern-Süd,Prof. Dr. Schrader,12.06.1965,Lothar Mehling,"1. Montag im Monat, 12:30 UhrSpatenhaus an der OperResidenzstraße 1280333 München",
67,Bayern-Süd,"Linsmayer, PDG",14.09.1991,Hans-Frieder Krauß,1. und 3. DienstagEden Hotel WolffArnulfstr. 480335 München,https://heinrich-der-loewe.lions.de/
68,Bayern-Süd,Prof. Dr. Hoffmann,09.11.1963,Alexander Lippert,19.00Hotel KlostermaierMittenwalder Straße 982057 Icking,http://www.lc-muenchen-isartal.de
69,Bayern-Süd,Pöschl,15.03.1997,Nicola Höfner,1. Mi. im Monat um 19:00 UhrHotel Eden WolffArnulfstrasse 480335 München,http://www.lions-club-muenchen-karl-valentin.com
